[ 2025-08-21 16:16:42,130 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-21 16:16:50,447 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-21 16:16:50,447 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-21 16:16:50,447 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-21 16:16:50,613 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-21 16:16:50,615 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-21 16:16:50,623 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-21 16:16:50,747 ] 32 root - INFO - Required number of columns:2
[ 2025-08-21 16:16:50,747 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-21 16:16:50,748 ] 32 root - INFO - Required number of columns:2
[ 2025-08-21 16:16:50,748 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-21 16:16:50,994 ] 28 root - INFO - data Validation Completed
[ 2025-08-21 16:16:50,994 ] 31 root - INFO - data Transformation started
[ 2025-08-21 16:16:50,994 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-21 16:16:50,995 ] 65 root - INFO - Starting data transformation
[ 2025-08-21 16:16:51,052 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-21 16:16:51,052 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-21 16:16:51,071 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-21 16:16:51,076 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-21 16:16:51,076 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-21 16:16:51,081 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-21 16:16:51,085 ] 35 root - INFO - data Transformation completed
[ 2025-08-21 16:16:51,085 ] 37 root - INFO - Model Training sstared
[ 2025-08-21 16:27:35,287 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-21 16:27:35,289 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-21 16:27:35,289 ] 112 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913402340842974, precision_score=0.9887981645185235, recall_score=0.9938954079902327), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9872875685802222, precision_score=0.9850467289719627, recall_score=0.989538626609442))
[ 2025-08-21 16:27:35,299 ] 42 root - INFO - Model Training artifact created
