[ 2025-08-21 18:31:17,143 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-21 18:31:21,893 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-21 18:31:21,893 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-21 18:31:21,893 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-21 18:31:22,052 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-21 18:31:22,052 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-21 18:31:22,052 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-21 18:31:22,182 ] 32 root - INFO - Required number of columns:2
[ 2025-08-21 18:31:22,182 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-21 18:31:22,182 ] 32 root - INFO - Required number of columns:2
[ 2025-08-21 18:31:22,182 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-21 18:31:22,491 ] 28 root - INFO - data Validation Completed
[ 2025-08-21 18:31:22,491 ] 31 root - INFO - data Transformation started
[ 2025-08-21 18:31:22,491 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-21 18:31:22,491 ] 65 root - INFO - Starting data transformation
[ 2025-08-21 18:31:22,563 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-21 18:31:22,564 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-21 18:31:22,582 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-21 18:31:22,585 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-21 18:31:22,585 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-21 18:31:22,585 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-21 18:31:22,585 ] 35 root - INFO - data Transformation completed
[ 2025-08-21 18:31:22,585 ] 37 root - INFO - Model Training sstared
[ 2025-08-21 18:40:58,229 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-21 18:40:58,229 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-21 18:40:58,229 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-21 18:40:58,251 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-21 18:40:58,251 ] 131 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908851529268786, precision_score=0.9886156955203772, recall_score=0.993165053799824), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9902518277822908, precision_score=0.9905200433369448, recall_score=0.9899837574445046))
[ 2025-08-21 18:40:58,253 ] 42 root - INFO - Model Training artifact created
