[ 2025-08-21 15:25:02,144 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-21 15:25:08,157 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-21 15:25:08,157 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-21 15:25:08,157 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-21 15:25:08,437 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-21 15:25:08,437 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-21 15:25:08,474 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-21 15:25:08,635 ] 32 root - INFO - Required number of columns:2
[ 2025-08-21 15:25:08,635 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-21 15:25:08,635 ] 32 root - INFO - Required number of columns:2
[ 2025-08-21 15:25:08,635 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-21 15:25:09,084 ] 28 root - INFO - data Validation Completed
[ 2025-08-21 15:25:09,084 ] 31 root - INFO - data Transformation started
[ 2025-08-21 15:25:09,084 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-21 15:25:09,084 ] 65 root - INFO - Starting data transformation
[ 2025-08-21 15:25:09,174 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-21 15:25:09,174 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-21 15:25:09,208 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-21 15:25:09,208 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-21 15:25:09,208 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-21 15:25:09,229 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-21 15:25:09,229 ] 35 root - INFO - data Transformation completed
[ 2025-08-21 15:25:09,229 ] 37 root - INFO - Model Training sstared
