[ 2025-08-20 23:17:43,380 ] 16 root - INFO - Initiate the data ingestion
[ 2025-08-20 23:17:47,650 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-20 23:17:47,650 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-20 23:17:47,651 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-20 23:17:47,702 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-20 23:17:47,703 ] 18 root - INFO - Data Ingestion Completed
[ 2025-08-20 23:17:47,711 ] 24 root - INFO - Initiate the data Validation
[ 2025-08-20 23:17:47,797 ] 32 root - INFO - Required number of columns:2
[ 2025-08-20 23:17:47,797 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-20 23:17:47,799 ] 32 root - INFO - Required number of columns:2
[ 2025-08-20 23:17:47,799 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-20 23:17:47,956 ] 26 root - INFO - Data Validation Completed
[ 2025-08-20 23:17:47,956 ] 30 root - INFO - data Transformation started
[ 2025-08-20 23:17:47,957 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-20 23:17:47,957 ] 65 root - INFO - Starting data transformation
[ 2025-08-20 23:17:47,979 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-20 23:17:47,979 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-20 23:17:47,998 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-20 23:17:48,003 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-20 23:17:48,003 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-20 23:17:48,008 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-20 23:17:48,010 ] 34 root - INFO - data Transformation completed
